"Código","Unidade Territorial","UF","Referência","Quantidade de pessoas do sexo masculino inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino inscritas no Cadastro Único"
"280670","SÃO CRISTÓVÃO","SE","07/2025","21218","30901"
"280670","SÃO CRISTÓVÃO","SE","06/2025","21390","31061"
"280670","SÃO CRISTÓVÃO","SE","11/2025","21322","31145"
"280670","SÃO CRISTÓVÃO","SE","05/2025","21398","31034"
"280670","SÃO CRISTÓVÃO","SE","12/2025","21400","31232"
"280680","SÃO DOMINGOS","SE","01/2025","3164","4219"
"280680","SÃO DOMINGOS","SE","12/2025","3300","4274"
"280680","SÃO DOMINGOS","SE","03/2025","3171","4227"
"280680","SÃO DOMINGOS","SE","05/2025","3225","4293"
"280680","SÃO DOMINGOS","SE","10/2025","3270","4269"
"280680","SÃO DOMINGOS","SE","02/2025","3159","4215"
"280680","SÃO DOMINGOS","SE","07/2025","3278","4313"
"280680","SÃO DOMINGOS","SE","06/2025","3243","4298"
"280680","SÃO DOMINGOS","SE","08/2025","3269","4285"
"280680","SÃO DOMINGOS","SE","11/2025","3292","4295"
"280680","SÃO DOMINGOS","SE","09/2025","3271","4286"
"280690","SÃO FRANCISCO","SE","09/2025","1134","1415"
"280690","SÃO FRANCISCO","SE","11/2025","1159","1446"
"280690","SÃO FRANCISCO","SE","05/2025","1128","1404"
"280690","SÃO FRANCISCO","SE","12/2025","1166","1453"
"280690","SÃO FRANCISCO","SE","08/2025","1132","1409"
"280690","SÃO FRANCISCO","SE","02/2025","1115","1400"
"280690","SÃO FRANCISCO","SE","01/2025","1123","1412"
"280690","SÃO FRANCISCO","SE","03/2025","1112","1394"
"280690","SÃO FRANCISCO","SE","06/2025","1138","1418"
"280690","SÃO FRANCISCO","SE","07/2025","1140","1416"
"280690","SÃO FRANCISCO","SE","10/2025","1158","1439"
"280700","SÃO MIGUEL DO ALEIXO","SE","03/2025","1332","1607"
"280700","SÃO MIGUEL DO ALEIXO","SE","05/2025","1341","1610"
"280700","SÃO MIGUEL DO ALEIXO","SE","11/2025","1360","1611"
"280700","SÃO MIGUEL DO ALEIXO","SE","12/2025","1364","1618"
"280700","SÃO MIGUEL DO ALEIXO","SE","09/2025","1343","1610"
"280700","SÃO MIGUEL DO ALEIXO","SE","06/2025","1340","1607"
"280700","SÃO MIGUEL DO ALEIXO","SE","01/2025","1315","1598"
"280700","SÃO MIGUEL DO ALEIXO","SE","02/2025","1323","1604"
"280700","SÃO MIGUEL DO ALEIXO","SE","08/2025","1334","1598"
"280700","SÃO MIGUEL DO ALEIXO","SE","10/2025","1352","1613"
"280700","SÃO MIGUEL DO ALEIXO","SE","07/2025","1342","1614"
"280710","SIMÃO DIAS","SE","09/2025","14881","17744"
"280710","SIMÃO DIAS","SE","10/2025","14824","17697"
"280710","SIMÃO DIAS","SE","03/2025","14882","17691"
"280710","SIMÃO DIAS","SE","02/2025","14830","17639"
"280710","SIMÃO DIAS","SE","07/2025","14993","17850"
"280710","SIMÃO DIAS","SE","05/2025","14881","17758"
"280710","SIMÃO DIAS","SE","06/2025","14984","17846"
"280710","SIMÃO DIAS","SE","12/2025","14867","17728"
"280710","SIMÃO DIAS","SE","01/2025","14839","17635"
"280710","SIMÃO DIAS","SE","08/2025","14869","17730"
"280710","SIMÃO DIAS","SE","11/2025","14854","17734"
"280720","SIRIRI","SE","02/2025","2428","3283"
"280720","SIRIRI","SE","03/2025","2429","3290"
"280720","SIRIRI","SE","01/2025","2430","3287"
"280720","SIRIRI","SE","11/2025","2443","3272"
"280720","SIRIRI","SE","05/2025","2466","3298"
"280720","SIRIRI","SE","07/2025","2462","3291"
"280720","SIRIRI","SE","10/2025","2434","3268"
"280720","SIRIRI","SE","09/2025","2429","3264"
"280720","SIRIRI","SE","08/2025","2426","3254"
"280720","SIRIRI","SE","06/2025","2480","3310"
"280720","SIRIRI","SE","12/2025","2441","3274"
"280730","TELHA","SE","05/2025","1286","1562"
"280730","TELHA","SE","09/2025","1264","1549"
"280730","TELHA","SE","11/2025","1257","1551"
"280730","TELHA","SE","10/2025","1263","1553"
"280730","TELHA","SE","08/2025","1263","1549"
"280730","TELHA","SE","02/2025","1297","1544"
"280730","TELHA","SE","12/2025","1259","1535"
"280730","TELHA","SE","06/2025","1288","1567"
"280730","TELHA","SE","07/2025","1292","1573"
"280730","TELHA","SE","01/2025","1292","1538"
"280730","TELHA","SE","03/2025","1301","1545"
"280740","TOBIAS BARRETO","SE","02/2025","17529","20658"
"280740","TOBIAS BARRETO","SE","12/2025","17703","21139"
"280740","TOBIAS BARRETO","SE","08/2025","17661","21027"
"280740","TOBIAS BARRETO","SE","01/2025","17477","20607"
"280740","TOBIAS BARRETO","SE","06/2025","17760","21116"
"280740","TOBIAS BARRETO","SE","03/2025","17593","20732"
"280740","TOBIAS BARRETO","SE","05/2025","17684","21022"
"280740","TOBIAS BARRETO","SE","11/2025","17782","21169"
"280740","TOBIAS BARRETO","SE","07/2025","17728","21101"
"280740","TOBIAS BARRETO","SE","09/2025","17715","21081"
"280740","TOBIAS BARRETO","SE","10/2025","17761","21123"
"280750","TOMAR DO GERU","SE","12/2025","4910","5174"
"280750","TOMAR DO GERU","SE","09/2025","4907","5172"
"280750","TOMAR DO GERU","SE","06/2025","4951","5208"
"280750","TOMAR DO GERU","SE","08/2025","4894","5162"
"280750","TOMAR DO GERU","SE","03/2025","4946","5163"
"280750","TOMAR DO GERU","SE","01/2025","4933","5169"
"280750","TOMAR DO GERU","SE","02/2025","4948","5172"
"280750","TOMAR DO GERU","SE","10/2025","4911","5162"
"280750","TOMAR DO GERU","SE","07/2025","4928","5196"
"280750","TOMAR DO GERU","SE","05/2025","4943","5208"
"280750","TOMAR DO GERU","SE","11/2025","4918","5165"
"280760","UMBAÚBA","SE","12/2025","8581","11147"
"280760","UMBAÚBA","SE","09/2025","8547","11149"
"280760","UMBAÚBA","SE","11/2025","8606","11184"
"280760","UMBAÚBA","SE","03/2025","8557","10931"
"280760","UMBAÚBA","SE","02/2025","8556","10938"
"280760","UMBAÚBA","SE","07/2025","8528","11163"
"280760","UMBAÚBA","SE","06/2025","8578","11166"
"280760","UMBAÚBA","SE","01/2025","8555","10912"
"280760","UMBAÚBA","SE","08/2025","8480","11101"
"280760","UMBAÚBA","SE","05/2025","8552","11138"
"280760","UMBAÚBA","SE","10/2025","8582","11171"
