"Código","Unidade Territorial","UF","Referência","Número de famílias cadastradas no Cadastro Único em situação de pobreza, segundo a faixa do Programa Bolsa Família*","Número de famílias cadastradas no Cadastro Único com renda per capita de até meio salário-mínimo (Pobreza + Baixa renda)","Número de famílias cadastradas no Cadastro Único com renda per capita acima de meio salário-mínimo***"
"280730","TELHA","SE","05/2025","695","954","306"
"280730","TELHA","SE","09/2025","700","938","303"
"280730","TELHA","SE","11/2025","705","935","308"
"280730","TELHA","SE","10/2025","701","937","302"
"280730","TELHA","SE","08/2025","695","936","302"
"280730","TELHA","SE","02/2025","697","965","287"
"280730","TELHA","SE","12/2025","713","933","305"
"280730","TELHA","SE","06/2025","693","946","313"
"280730","TELHA","SE","07/2025","691","942","318"
"280730","TELHA","SE","01/2025","692","961","279"
"280730","TELHA","SE","03/2025","705","970","286"
"280740","TOBIAS BARRETO","SE","02/2025","12334","15087","4429"
"280740","TOBIAS BARRETO","SE","12/2025","11907","14628","5319"
"280740","TOBIAS BARRETO","SE","08/2025","12042","14778","5043"
"280740","TOBIAS BARRETO","SE","01/2025","12437","15158","4289"
"280740","TOBIAS BARRETO","SE","06/2025","12248","14976","5028"
"280740","TOBIAS BARRETO","SE","03/2025","12399","15165","4456"
"280740","TOBIAS BARRETO","SE","05/2025","12320","15026","4867"
"280740","TOBIAS BARRETO","SE","11/2025","11925","14650","5311"
"280740","TOBIAS BARRETO","SE","07/2025","12112","14834","5101"
"280740","TOBIAS BARRETO","SE","09/2025","11970","14702","5170"
"280740","TOBIAS BARRETO","SE","10/2025","11910","14653","5255"
"280750","TOMAR DO GERU","SE","12/2025","2434","3142","976"
"280750","TOMAR DO GERU","SE","09/2025","2468","3150","924"
"280750","TOMAR DO GERU","SE","06/2025","2469","3166","916"
"280750","TOMAR DO GERU","SE","08/2025","2484","3145","902"
"280750","TOMAR DO GERU","SE","03/2025","2466","3174","851"
"280750","TOMAR DO GERU","SE","01/2025","2401","3150","856"
"280750","TOMAR DO GERU","SE","02/2025","2414","3148","867"
"280750","TOMAR DO GERU","SE","10/2025","2482","3146","938"
"280750","TOMAR DO GERU","SE","07/2025","2443","3138","930"
"280750","TOMAR DO GERU","SE","05/2025","2502","3169","896"
"280750","TOMAR DO GERU","SE","11/2025","2438","3124","970"
"280760","UMBAÚBA","SE","12/2025","5451","6745","2711"
"280760","UMBAÚBA","SE","09/2025","5435","6758","2667"
"280760","UMBAÚBA","SE","11/2025","5428","6741","2731"
"280760","UMBAÚBA","SE","03/2025","5566","6804","2501"
"280760","UMBAÚBA","SE","02/2025","5495","6757","2532"
"280760","UMBAÚBA","SE","07/2025","5430","6705","2697"
"280760","UMBAÚBA","SE","06/2025","5519","6787","2680"
"280760","UMBAÚBA","SE","01/2025","5489","6759","2511"
"280760","UMBAÚBA","SE","08/2025","5438","6691","2639"
"280760","UMBAÚBA","SE","05/2025","5571","6807","2627"
"280760","UMBAÚBA","SE","10/2025","5432","6748","2705"
