"Código","Unidade Territorial","UF","Referência","Pessoas beneficiárias no PBF (até Out/2021)","Pessoas beneficiárias no PBF (a partir de Mar/2023)"
"280590","RIACHUELO","SE","10/2025","","3819"
"280590","RIACHUELO","SE","08/2025","","3900"
"280590","RIACHUELO","SE","12/2025","","3748"
"280590","RIACHUELO","SE","01/2025","","4177"
"280590","RIACHUELO","SE","03/2025","","4175"
"280590","RIACHUELO","SE","02/2025","","4185"
"280590","RIACHUELO","SE","04/2025","","4145"
"280590","RIACHUELO","SE","09/2025","","3858"
"280590","RIACHUELO","SE","06/2025","","4140"
"280590","RIACHUELO","SE","05/2025","","4145"
"280600","RIBEIRÓPOLIS","SE","12/2025","","6997"
"280600","RIBEIRÓPOLIS","SE","11/2025","","7054"
"280600","RIBEIRÓPOLIS","SE","01/2025","","7731"
"280600","RIBEIRÓPOLIS","SE","05/2025","","7745"
"280600","RIBEIRÓPOLIS","SE","10/2025","","7162"
"280600","RIBEIRÓPOLIS","SE","04/2025","","7751"
"280600","RIBEIRÓPOLIS","SE","09/2025","","7183"
"280600","RIBEIRÓPOLIS","SE","02/2025","","7744"
"280600","RIBEIRÓPOLIS","SE","06/2025","","7726"
"280600","RIBEIRÓPOLIS","SE","03/2025","","7746"
"280600","RIBEIRÓPOLIS","SE","08/2025","","7274"
"280600","RIBEIRÓPOLIS","SE","07/2025","","7347"
"280610","ROSÁRIO DO CATETE","SE","05/2025","","4812"
"280610","ROSÁRIO DO CATETE","SE","12/2025","","4468"
"280610","ROSÁRIO DO CATETE","SE","10/2025","","4499"
"280610","ROSÁRIO DO CATETE","SE","11/2025","","4405"
"280610","ROSÁRIO DO CATETE","SE","02/2025","","4742"
"280610","ROSÁRIO DO CATETE","SE","06/2025","","4825"
"280610","ROSÁRIO DO CATETE","SE","09/2025","","4483"
"280610","ROSÁRIO DO CATETE","SE","07/2025","","4593"
"280610","ROSÁRIO DO CATETE","SE","04/2025","","4816"
"280610","ROSÁRIO DO CATETE","SE","01/2025","","4712"
"280610","ROSÁRIO DO CATETE","SE","08/2025","","4496"
"280610","ROSÁRIO DO CATETE","SE","03/2025","","4820"
"280620","SALGADO","SE","09/2025","","10084"
"280620","SALGADO","SE","07/2025","","10365"
"280620","SALGADO","SE","11/2025","","9971"
"280620","SALGADO","SE","01/2025","","10854"
"280620","SALGADO","SE","04/2025","","10858"
"280620","SALGADO","SE","08/2025","","10193"
"280620","SALGADO","SE","05/2025","","10861"
"280620","SALGADO","SE","02/2025","","10887"
"280620","SALGADO","SE","03/2025","","10859"
"280620","SALGADO","SE","06/2025","","10861"
"280620","SALGADO","SE","10/2025","","10089"
"280620","SALGADO","SE","12/2025","","10089"
"280630","SANTA LUZIA DO ITANHY","SE","05/2025","","8086"
"280630","SANTA LUZIA DO ITANHY","SE","06/2025","","8086"
"280630","SANTA LUZIA DO ITANHY","SE","12/2025","","7252"
"280630","SANTA LUZIA DO ITANHY","SE","02/2025","","8096"
"280630","SANTA LUZIA DO ITANHY","SE","09/2025","","7447"
"280630","SANTA LUZIA DO ITANHY","SE","01/2025","","8065"
"280630","SANTA LUZIA DO ITANHY","SE","04/2025","","8078"
"280630","SANTA LUZIA DO ITANHY","SE","11/2025","","7291"
"280630","SANTA LUZIA DO ITANHY","SE","10/2025","","7425"
"280630","SANTA LUZIA DO ITANHY","SE","07/2025","","7514"
"280630","SANTA LUZIA DO ITANHY","SE","08/2025","","7479"
"280630","SANTA LUZIA DO ITANHY","SE","03/2025","","8076"
"280640","SANTANA DO SÃO FRANCISCO","SE","09/2025","","4788"
"280640","SANTANA DO SÃO FRANCISCO","SE","05/2025","","5077"
"280640","SANTANA DO SÃO FRANCISCO","SE","12/2025","","4727"
"280640","SANTANA DO SÃO FRANCISCO","SE","07/2025","","4847"
"280640","SANTANA DO SÃO FRANCISCO","SE","08/2025","","4797"
"280640","SANTANA DO SÃO FRANCISCO","SE","03/2025","","5086"
"280640","SANTANA DO SÃO FRANCISCO","SE","02/2025","","5090"
"280640","SANTANA DO SÃO FRANCISCO","SE","06/2025","","5088"
"280640","SANTANA DO SÃO FRANCISCO","SE","11/2025","","4674"
"280640","SANTANA DO SÃO FRANCISCO","SE","10/2025","","4756"
"280640","SANTANA DO SÃO FRANCISCO","SE","01/2025","","5021"
"280640","SANTANA DO SÃO FRANCISCO","SE","04/2025","","5079"
"280650","SANTA ROSA DE LIMA","SE","04/2025","","1870"
"280650","SANTA ROSA DE LIMA","SE","07/2025","","1742"
"280650","SANTA ROSA DE LIMA","SE","09/2025","","1697"
"280650","SANTA ROSA DE LIMA","SE","02/2025","","1875"
"280650","SANTA ROSA DE LIMA","SE","08/2025","","1700"
"280650","SANTA ROSA DE LIMA","SE","12/2025","","1633"
"280650","SANTA ROSA DE LIMA","SE","10/2025","","1676"
"280650","SANTA ROSA DE LIMA","SE","03/2025","","1875"
"280650","SANTA ROSA DE LIMA","SE","06/2025","","1861"
"280650","SANTA ROSA DE LIMA","SE","05/2025","","1867"
"280650","SANTA ROSA DE LIMA","SE","01/2025","","1863"
"280650","SANTA ROSA DE LIMA","SE","11/2025","","1641"
"280660","SANTO AMARO DAS BROTAS","SE","12/2025","","5073"
"280660","SANTO AMARO DAS BROTAS","SE","09/2025","","5371"
"280660","SANTO AMARO DAS BROTAS","SE","04/2025","","5776"
"280660","SANTO AMARO DAS BROTAS","SE","02/2025","","5840"
"280660","SANTO AMARO DAS BROTAS","SE","11/2025","","5232"
"280660","SANTO AMARO DAS BROTAS","SE","07/2025","","5490"
"280660","SANTO AMARO DAS BROTAS","SE","01/2025","","5809"
"280660","SANTO AMARO DAS BROTAS","SE","05/2025","","5774"
"280660","SANTO AMARO DAS BROTAS","SE","08/2025","","5407"
"280660","SANTO AMARO DAS BROTAS","SE","03/2025","","5807"
"280660","SANTO AMARO DAS BROTAS","SE","06/2025","","5783"
"280660","SANTO AMARO DAS BROTAS","SE","10/2025","","5303"
"280670","SÃO CRISTÓVÃO","SE","09/2025","","29402"
"280670","SÃO CRISTÓVÃO","SE","05/2025","","31829"
"280670","SÃO CRISTÓVÃO","SE","07/2025","","30053"
"280670","SÃO CRISTÓVÃO","SE","01/2025","","31887"
"280670","SÃO CRISTÓVÃO","SE","08/2025","","29478"
"280670","SÃO CRISTÓVÃO","SE","03/2025","","31985"
"280670","SÃO CRISTÓVÃO","SE","10/2025","","29234"
"280670","SÃO CRISTÓVÃO","SE","12/2025","","27950"
"280670","SÃO CRISTÓVÃO","SE","06/2025","","31852"
"280670","SÃO CRISTÓVÃO","SE","11/2025","","28598"
"280670","SÃO CRISTÓVÃO","SE","02/2025","","31946"
"280670","SÃO CRISTÓVÃO","SE","04/2025","","31886"
"280680","SÃO DOMINGOS","SE","09/2025","","4699"
"280680","SÃO DOMINGOS","SE","02/2025","","5017"
"280680","SÃO DOMINGOS","SE","01/2025","","4985"
"280680","SÃO DOMINGOS","SE","08/2025","","4758"
"280680","SÃO DOMINGOS","SE","06/2025","","5019"
"280680","SÃO DOMINGOS","SE","04/2025","","5022"
"280680","SÃO DOMINGOS","SE","03/2025","","5031"
"280680","SÃO DOMINGOS","SE","05/2025","","5016"
"280680","SÃO DOMINGOS","SE","10/2025","","4665"
"280680","SÃO DOMINGOS","SE","11/2025","","4618"
"280680","SÃO DOMINGOS","SE","12/2025","","4760"
"280680","SÃO DOMINGOS","SE","07/2025","","4783"
"280690","SÃO FRANCISCO","SE","10/2025","","1673"
"280690","SÃO FRANCISCO","SE","02/2025","","1843"
"280690","SÃO FRANCISCO","SE","08/2025","","1721"
"280690","SÃO FRANCISCO","SE","07/2025","","1757"
"280690","SÃO FRANCISCO","SE","11/2025","","1650"
"280690","SÃO FRANCISCO","SE","05/2025","","1818"
"280690","SÃO FRANCISCO","SE","04/2025","","1818"
"280690","SÃO FRANCISCO","SE","03/2025","","1829"
"280690","SÃO FRANCISCO","SE","01/2025","","1842"
"280690","SÃO FRANCISCO","SE","06/2025","","1828"
"280690","SÃO FRANCISCO","SE","09/2025","","1702"
"280690","SÃO FRANCISCO","SE","12/2025","","1675"
"280700","SÃO MIGUEL DO ALEIXO","SE","03/2025","","2064"
"280700","SÃO MIGUEL DO ALEIXO","SE","01/2025","","2032"
"280700","SÃO MIGUEL DO ALEIXO","SE","06/2025","","2069"
"280700","SÃO MIGUEL DO ALEIXO","SE","05/2025","","2063"
"280700","SÃO MIGUEL DO ALEIXO","SE","08/2025","","2004"
"280700","SÃO MIGUEL DO ALEIXO","SE","11/2025","","1950"
"280700","SÃO MIGUEL DO ALEIXO","SE","09/2025","","1995"
"280700","SÃO MIGUEL DO ALEIXO","SE","07/2025","","2004"
"280700","SÃO MIGUEL DO ALEIXO","SE","04/2025","","2059"
"280700","SÃO MIGUEL DO ALEIXO","SE","02/2025","","2048"
"280700","SÃO MIGUEL DO ALEIXO","SE","12/2025","","1994"
"280700","SÃO MIGUEL DO ALEIXO","SE","10/2025","","1988"
"280710","SIMÃO DIAS","SE","12/2025","","21373"
"280710","SIMÃO DIAS","SE","11/2025","","21525"
"280710","SIMÃO DIAS","SE","05/2025","","23814"
"280710","SIMÃO DIAS","SE","04/2025","","23862"
"280710","SIMÃO DIAS","SE","09/2025","","22231"
"280710","SIMÃO DIAS","SE","02/2025","","23939"
"280710","SIMÃO DIAS","SE","01/2025","","23953"
"280710","SIMÃO DIAS","SE","06/2025","","23844"
"280710","SIMÃO DIAS","SE","03/2025","","23875"
"280710","SIMÃO DIAS","SE","07/2025","","22355"
"280710","SIMÃO DIAS","SE","08/2025","","22366"
"280710","SIMÃO DIAS","SE","10/2025","","21977"
"280720","SIRIRI","SE","02/2025","","4008"
"280720","SIRIRI","SE","11/2025","","3727"
"280720","SIRIRI","SE","12/2025","","3730"
"280720","SIRIRI","SE","05/2025","","3995"
"280720","SIRIRI","SE","01/2025","","4010"
"280720","SIRIRI","SE","09/2025","","3811"
"280720","SIRIRI","SE","07/2025","","3874"
"280720","SIRIRI","SE","08/2025","","3829"
"280720","SIRIRI","SE","03/2025","","3998"
"280720","SIRIRI","SE","06/2025","","3993"
"280720","SIRIRI","SE","10/2025","","3809"
"280720","SIRIRI","SE","04/2025","","3995"
"280730","TELHA","SE","11/2025","","1826"
"280730","TELHA","SE","01/2025","","1914"
"280730","TELHA","SE","04/2025","","1929"
"280730","TELHA","SE","03/2025","","1934"
"280730","TELHA","SE","06/2025","","1928"
"280730","TELHA","SE","12/2025","","1830"
"280730","TELHA","SE","09/2025","","1840"
"280730","TELHA","SE","08/2025","","1856"
"280730","TELHA","SE","05/2025","","1926"
"280730","TELHA","SE","07/2025","","1850"
"280730","TELHA","SE","02/2025","","1927"
"280730","TELHA","SE","10/2025","","1836"
"280740","TOBIAS BARRETO","SE","03/2025","","26590"
"280740","TOBIAS BARRETO","SE","06/2025","","26606"
"280740","TOBIAS BARRETO","SE","10/2025","","24785"
"280740","TOBIAS BARRETO","SE","08/2025","","25232"
"280740","TOBIAS BARRETO","SE","07/2025","","25308"
"280740","TOBIAS BARRETO","SE","12/2025","","25082"
"280740","TOBIAS BARRETO","SE","09/2025","","25096"
"280740","TOBIAS BARRETO","SE","02/2025","","26243"
"280740","TOBIAS BARRETO","SE","01/2025","","26549"
"280740","TOBIAS BARRETO","SE","05/2025","","26583"
"280740","TOBIAS BARRETO","SE","04/2025","","26606"
"280740","TOBIAS BARRETO","SE","11/2025","","24461"
"280750","TOMAR DO GERU","SE","10/2025","","6815"
"280750","TOMAR DO GERU","SE","05/2025","","7026"
"280750","TOMAR DO GERU","SE","09/2025","","6843"
"280750","TOMAR DO GERU","SE","03/2025","","7055"
"280750","TOMAR DO GERU","SE","06/2025","","7011"
"280750","TOMAR DO GERU","SE","02/2025","","6984"
"280750","TOMAR DO GERU","SE","07/2025","","6805"
"280750","TOMAR DO GERU","SE","01/2025","","6960"
"280750","TOMAR DO GERU","SE","08/2025","","6906"
"280750","TOMAR DO GERU","SE","04/2025","","7031"
"280750","TOMAR DO GERU","SE","12/2025","","6755"
"280750","TOMAR DO GERU","SE","11/2025","","6739"
"280760","UMBAÚBA","SE","05/2025","","13511"
"280760","UMBAÚBA","SE","02/2025","","13515"
"280760","UMBAÚBA","SE","12/2025","","13112"
"280760","UMBAÚBA","SE","08/2025","","12929"
"280760","UMBAÚBA","SE","11/2025","","12728"
"280760","UMBAÚBA","SE","07/2025","","13094"
"280760","UMBAÚBA","SE","01/2025","","13439"
"280760","UMBAÚBA","SE","09/2025","","12881"
"280760","UMBAÚBA","SE","06/2025","","13504"
"280760","UMBAÚBA","SE","03/2025","","13562"
"280760","UMBAÚBA","SE","04/2025","","13521"
"280760","UMBAÚBA","SE","10/2025","","12839"
